"","word"
"1702","oh"
"1703","i"
"1704","am"
"1705","an"
"1706","american"
"1707","i"
"1708","just"
"1709","wasn't"
"1710","born"
"1711","here.please"
"1712","don't"
"1713","touch"
"1714","that"
"1715","sorry"
"1716","a"
"1717","neat"
"1718","collection.george"
"1719","washington's"
"1720","campaign"
"1721","buttons"
"1722","you're"
"1723","missing"
"1724","the"
"1725","inaugural"
"1726","though"
"1727","i"
"1728","found"
"1729","one"
"1730","once"
"1731","that's"
"1732","very"
"1733","fortunate"
"1734","for"
"1735","you"
"1736","now"
"1737","you"
"1738","told"
"1739","my"
"1740","assistantthat"
"1741","this"
"1742","was"
"1743","an"
"1744","urgent"
"1745","matter"
"1746","yes"
"1747","ma'am"
"1748","well"
"1749","i'm"
"1750","gonna"
"1751","get"
"1752","straight"
"1753","to"
"1754","the"
"1755","point"
"1756","someone's"
"1757","gonna"
"1758","stealthe"
"1759","declaration"
"1760","of"
"1761","independence"
"1762","it's"
"1763","true"
"1764","i"
"1765","think"
"1766","i'd"
"1767","better"
"1768","put"
"1769","you"
"1770","gentlemenin"
"1771","touch"
"1772","with"
"1773","the"
"1774","fbi"
"1775","we've"
"1776","been"
"1777","to"
"1778","the"
"1779","fbi"
"1780","and"
"1781","they"
"1782","assured"
"1783","us"
"1784","that"
"1785","the"
"1786","declarationcannot"
"1787","possibly"
"1788","be"
"1789","stolen"
"1790","they're"
"1791","right"
"1792","my"
"1793","friend"
"1794","and"
"1795","i"
"1796","are"
"1797","less"
"1798","certain"
"1799","however"
"1800","if"
"1801","we"
"1802","were"
"1803","given"
"1804","the"
"1805","privilegeof"
"1806","examining"
"1807","the"
"1808","document"
"1809","we"
"1810","would"
"1811","be"
"1812","able"
"1813","to"
"1814","tell"
"1815","you"
"1816","for"
"1817","certainif"
"1818","it"
"1819","were"
"1820","actually"
"1821","in"
"1822","any"
"1823","danger"
"1824","what"
"1825","do"
"1826","you"
"1827","think"
"1828","you're"
"1829","gonna"
"1830","find"
"1831","we"
"1832","believe"
"1833","that"
"1834","there's"
"1835","an"
"1836","encryption"
"1837","on"
"1838","the"
"1839","back"
"1840","an"
"1841","encryption"
"1842","like"
"1843","a"
"1844","code"
"1845","yes"
"1846","ma'am"
"1847","of"
"1848","what"
"1849","a"
"1850","cartograph"
"1851","a"
"1852","map"
"1853","yes"
"1854","ma'am"
"1855","a"
"1856","map"
"1857","of"
"1858","what"
"1859","the"
"1860","location"
"1861","of"
"1862","of"
"1863","hidden"
"1864","itemsof"
"1865","historic"
"1866","and"
"1867","intrinsic"
"1868","value"
"1869","a"
"1870","treasure"
"1871","map"
"1872","that's"
"1873","where"
"1874","we"
"1875","lost"
"1876","the"
"1877","fbi"
"1878","you're"
"1879","treasure"
"1880","hunters"
"1881","aren't"
"1882","you"
"1883","we're"
"1884","more"
"1885","like"
"1886","treasure"
"1887","protectors"
"1888","mr"
"1889","brown"
"1890","i"
"1891","have"
"1892","personally"
"1893","seen"
"1894","the"
"1895","backof"
"1896","the"
"1897","declaration"
"1898","of"
"1899","independence"
"1900","and"
"1901","i"
"1902","promise"
"1903","you"
"1904","the"
"1905","only"
"1906","thing"
"1907","thereis"
"1908","a"
"1909","notation"
"1910","that"
"1911","reads"
"1912","original"
"1913","declaration"
"1914","of"
"1915","independence"
"1916","dated"
"1917","four"
"1918","of"
"1919","july"
"1920","yes"
"1921","ma'am"
"1922","but"
"1923","no"
"1924","map"
"1925","it's"
"1926","invisible"
"1927","oh"
"1928","right"
"1929","and"
"1930","that's"
"1931","where"
"1932","we"
"1933","lostthe"
"1934","department"
"1935","of"
"1936","homeland"
"1937","security"
"1938","what"
"1939","led"
"1940","you"
"1941","to"
"1942","assumethere's"
"1943","this"
"1944","invisible"
"1945","map"
"1946","we"
"1947","found"
"1948","an"
